id,organ_id,frequency,"name","created_at","updated_at","deleted_at"
478,NULL,1197,"сила",NULL,NULL,NULL
479,NULL,1192,"личност",NULL,NULL,NULL
480,NULL,1188,"ел",NULL,NULL,NULL
481,NULL,1179,"мастектомия",NULL,NULL,NULL
482,NULL,1172,"физиологична",NULL,NULL,NULL
483,10,1171,"лимф",NULL,"2020-05-17 14:14:48",NULL
484,NULL,1165,"намалени",NULL,NULL,NULL
485,NULL,1164,"шийни",NULL,NULL,NULL
486,NULL,1161,"латентни",NULL,NULL,NULL
487,NULL,1152,"дифузно",NULL,NULL,NULL
488,NULL,1150,"пулсаций",NULL,NULL,NULL
489,NULL,1149,"рана",NULL,NULL,NULL
490,NULL,1145,"нпр",NULL,NULL,NULL
491,NULL,1144,"дч",NULL,NULL,NULL
492,NULL,1132,"хиперемирано",NULL,NULL,NULL
493,NULL,1130,"систоличен",NULL,NULL,NULL
494,NULL,1129,"деформации",NULL,NULL,NULL
495,NULL,1127,"вкф",NULL,NULL,NULL
496,NULL,1118,"съд",NULL,NULL,NULL
497,NULL,1109,"хсм",NULL,NULL,NULL
498,NULL,1108,"повърхностна",NULL,NULL,NULL
499,NULL,1106,"маг",NULL,NULL,NULL
500,NULL,1098,"прав",NULL,NULL,NULL
501,NULL,1097,"изразени",NULL,NULL,NULL
502,NULL,1094,"самоизследване",NULL,NULL,NULL
503,NULL,1091,"подбедрица",NULL,NULL,NULL
504,NULL,1087,"ми",NULL,NULL,NULL
505,NULL,1087,"нормостенен",NULL,NULL,NULL
506,NULL,1087,"ф",NULL,NULL,NULL
507,NULL,1071,"адекватна",NULL,NULL,NULL
508,NULL,1068,"напълнен",NULL,NULL,NULL
509,NULL,1064,"к",NULL,NULL,NULL
510,29,1063,"крак",NULL,"2020-05-17 14:15:55",NULL
